huc10,areasqkm,count,mean,std,percentile_10
0801020101,352.3,4904022,152.94499739193665,11.989260774554852,134.72938690185546
0801020102,408.09,5679060,126.84992798103912,14.943322040763075,106.68000030517578
0509020106,531.2,7380835,235.13894999684996,42.7524900532795,160.72494506835938
0801010003,277.59,3844089,88.64252622663003,2.888506597559242,84.8012680053711
0509010301,560.13,7797304,213.35520482464196,35.33444843236057,164.78504943847656
0509020102,684.2,9517706,253.5829873290896,62.644393406167886,161.5437240600586
0509020111,625.83,8703254,240.72039630234852,39.14159074004795,173.0848587036133
0509020112,501.67,6964083,227.5245668381609,39.062838307409265,160.99394836425782
0509010303,479.24,6683577,291.3980893763923,36.8762063850922,241.0620086669922
0509010304,400.24,5583051,251.33697256213495,48.11880215310219,175.71754455566406
0509010402,343.05,4787277,256.1869221271299,35.93845875904397,206.2030822753906
0509010403,434.78,6066288,264.70466288445255,40.900703653614585,207.27598724365234
0509010404,398.88,5568155,236.02000447185827,31.884482832720717,192.42755737304688
0509010405,396.48,5532948,228.85141447199575,35.977383781963525,176.48229522705077
0510010105,897.01,12504639,298.24484305384584,35.835578626437574,247.13750915527345
0510010102,199.16,2780432,305.238437767944,32.86577124615356,260.41953430175784
0510010104,173.67,2423030,319.40950627932796,42.645428766646624,258.39814453125
0510010106,484.49,6753068,305.64989068672196,45.49967083715113,243.18724365234377
0510010201,215.44,3001381,286.25060797013106,14.123786851460544,266.6460266113281
0510010202,518.92,7228564,278.64543165143175,18.878070974317215,255.65790252685548
0510010203,673.76,9382902,278.54114047018714,19.92579790348591,252.40980682373046
0510020302,506.9,7066293,422.1604419743138,83.06852348164098,307.39496459960935
0510020303,315.98,4405418,338.5907807159275,46.16512366349756,278.1719177246094
0510020304,242.07,3376741,354.31616460960436,61.74435679402531,268.5157775878906
0510020511,210.18,2926395,237.68886975271622,27.89160238600158,199.60997009277344
0511000109,265.35,3692843,251.43918655626572,18.579355099860955,227.79715270996093
0511000208,547.83,7617664,189.51716431703997,20.18062071906635,162.287255859375
0511000112,412.41,5737311,190.5363568403386,26.517980334963752,152.1908721923828
0511000113,470.13,6539840,193.74538337329355,30.69280639613655,150.40281677246094
0511000114,283.73,3947941,168.06994836042384,27.149761111232266,129.36294555664062
0511000201,954.17,13245062,262.3554577547466,28.022030410141006,224.8181167602539
0511000202,650.83,9045147,236.68560212454258,32.53908519871799,191.65238342285159
0511000203,808.07,11235073,240.3621587505484,33.974708467417855,198.10814514160157
0511000204,389.53,5418974,199.82613092441485,27.529699078826724,165.09537200927736
0511000205,349.85,4864679,227.94460066121528,31.732335430357885,187.14435424804688
0511000207,657.91,9150916,191.66407209944884,24.658566989289074,164.63206481933594
0511000209,561.14,7808009,166.0601856375934,23.106276199248253,132.79005432128906
0511000301,264.02,3673326,161.82149474345593,24.02932091089159,128.23882293701172
0511000302,966.92,13439532,171.2249337253708,29.999139459525065,129.92791748046875
0511000303,676.93,9412044,152.20569049613454,24.384069954785463,122.56440963745118
0511000305,424.2,5901661,133.19209490345176,14.838831027111343,117.55549621582031
0510020106,526.46,7342927,356.69793693986065,57.99678156045259,279.24985961914064
0510020202,629.68,8778341,500.7285636317842,110.7266009502257,360.814697265625
0510020203,189.41,2642544,369.4733196495498,61.848224724861495,277.3435119628906
0510020204,390.4,5444111,308.48393796526193,56.107422054330236,233.3861541748047
0510020301,358.28,4994129,382.90482604674406,68.28417234330253,296.9825134277344
0511000111,662.44,9215447,213.4313623636488,30.813780853279074,169.6646759033203
0511000108,937.69,13037700,217.50920607162305,28.7572470393957,185.80596771240235
0511000605,722.44,10045833,129.5971087713682,15.075677286880714,115.38986206054688
0511000403,546.95,7606454,186.8259854066034,24.866477350511065,150.89522247314454
0511000404,652.74,9077585,173.0341309940915,27.606881861033493,133.44412231445312
0511000603,171.13,2382792,144.04364627714043,19.26326955754865,121.79832458496094
0511000502,398.27,5540908,126.88591256162347,12.212356627130234,115.95752716064453
0511000503,972.28,13517348,137.48244700069867,20.529385799797563,118.66048202514648
0511000504,264.72,3684049,126.52644739524365,11.170189212581741,114.94251251220703
0511000604,391.35,5444273,130.58397034829076,14.982115440521186,116.26689147949219
0510020403,495.75,6907061,261.3601078664283,56.37075224564193,198.17477416992188
0510020405,650.09,9060175,281.03318004343186,59.46397306562151,198.18839111328126
0510020501,601.83,8381026,263.7699622933994,27.6466993585405,226.43543243408203
0510020515,926.4,12894264,221.57815537203209,40.69497650708654,149.01805114746094
0801020104,555.74,7733457,114.82002317980174,15.399364967467413,95.1969009399414
0801020202,793.97,11014625,113.52952279355857,15.080455943084905,94.21098937988282
0507020207,449.8,6278324,464.25132822071623,119.25304056754298,314.61181640625
0510010110,798.18,11119365,255.97939450679064,27.138316775276905,220.51114501953126
0511000110,952.89,13248616,222.90289159260107,21.36365298670746,196.68980407714844
0511000501,342.87,4769297,137.4660290604674,15.69992040636049,117.77606658935547
0510020505,628.3,8744468,292.94704354798944,31.160470963353383,258.13243713378904
0513010101,962.73,13424241,680.5383044002265,183.89202869582215,455.60601806640625
0513010102,790.42,11011990,536.5550066790835,149.51523551085003,364.0827331542969
0510020404,562.13,7830858,327.33225605674374,75.3405203259721,219.03979034423827
0511000206,947.23,13158471,216.7902310230421,31.02315202108302,176.45230102539062
0801010001,222.19,3093795,109.88165925667344,16.937979402800273,93.12999725341797
0801020201,708.76,9840946,145.37775047236312,18.67526756551368,120.25430679321289
0801020105,830.27,11551502,126.34787337612026,20.19968120172839,98.78830795288086
